10	60	8.49257	0
30	60	8.49257	0
50	60	8.49257	0
70	60	8.49257	0
90	60	8.49257	0
110	60	8.49257	0
130	60	8.49257	0
150	60	8.49257	0
170	60	8.49257	0
190	60	8.49257	0
210	60	8.49257	0
230	60	8.49257	0
250	60	8.49257	0
270	60	8.49257	0
290	60	8.49257	0
310	60	8.49257	0
330	60	8.49257	0
350	203.511	31.2021	138
370	163.629	25.662	518
390	137.999	23.7338	628
410	114.639	21.0501	645
430	103.31	22.7104	1049
450	86.097	18.2034	1286
470	70.496	15.8586	1001
490	53.477	12.9091	628
510	44.739	9.45053	651
530	38.794	8.56561	498
550	32.048	7.78896	98
570	15	2.12314	0
590	15	2.12314	0
