5	57445	8869.64	65
15	52046	8549.04	212
25	41611	8764.33	337
35	30556	6585.14	417
45	22710	4074.31	500
55	18296	3425.05	565
65	15065	2766.88	565
75	12776	1862.42	625
85	11024	1600	605
95	9854	1613.16	715
105	8657	1329.09	748
115	7807	1293.84	832
125	6831	1195.33	835
135	5876	1081.53	908
145	5058	728.662	899
155	4724	715.924	851
165	4194	640.34	860
175	3902	602.123	876
185	3677	583.439	780
195	3380	579.193	674
205	3125	428.025	511
215	2835	378.769	396
225	2686	350.743	250
235	2284	152.442	99
245	2313	293.843	24
255	1913	249.682	3
265	749	106.157	0
275	749	106.157	0
285	749	106.157	0
295	749	106.157	0
