10	60	8.49257	0
30	60	8.49257	0
50	60	8.49257	0
70	60	8.49257	0
90	60	8.49257	0
110	60	8.49257	0
130	60	8.49257	0
150	60	8.49257	0
170	60	8.49257	0
190	60	8.49257	0
210	60	8.49257	0
230	60	8.49257	0
250	60	8.49257	0
270	60	8.49257	0
290	60	8.49257	0
310	60	8.49257	0
330	60	8.49257	0
350	298.926	-126.093	162
370	316.248	43.0293	552
390	259.376	36.3202	598
410	211.337	31.1028	617
430	186.568	30.0718	1051
450	158.151	28.1333	1290
470	131.555	26.8972	962
490	94.326	18.2985	604
510	66.336	14.8089	694
530	57.824	14.1979	473
550	50.92	16.6518	124
570	15	2.12314	0
590	15	2.12314	0
