5	52066	5424.63	85
15	47048	6649.68	248
25	38391	8216.14	315
35	27788	6112.95	425
45	19885	3902.34	442
55	15770	3270.06	517
65	12927	2507.86	614
75	11296	1868.79	647
85	10054	1803.4	639
95	8742	1498.94	698
105	7843	1239.92	734
115	7064	1222.51	843
125	6402	1160.51	910
135	6099	1206.37	904
145	4910	743.1	835
155	4566	729.512	851
165	4243	670.064	837
175	3910	597.877	858
185	3677	529.512	828
195	3456	454.352	649
205	3254	413.163	574
215	3105	404.671	408
225	2835	370.701	236
235	2608	285.35	91
245	2632	544.374	16
255	2259	99.7877	1
265	749	106.157	0
275	749	106.157	0
285	749	106.157	0
295	749	106.157	0
