10	60	8.49257	0
30	60	8.49257	0
50	60	8.49257	0
70	60	8.49257	0
90	60	8.49257	0
110	60	8.49257	0
130	60	8.49257	0
150	60	8.49257	0
170	60	8.49257	0
190	60	8.49257	0
210	60	8.49257	0
230	60	8.49257	0
250	60	8.49257	0
270	60	8.49257	0
290	60	8.49257	0
310	60	8.49257	0
330	60	8.49257	0
350	576.787	59.3953	159
370	483.141	53.087	531
390	418.156	44.2769	597
410	370.79	49.1223	601
430	327.176	50.6964	1026
450	280.125	44.3193	1321
470	240.45	38.7159	932
490	192.09	29.3473	563
510	160.491	23.7571	698
530	140.738	22.3316	485
550	123.324	20.2191	105
570	15	2.12314	0
590	15	2.12314	0
