10	119.999	-34.259	0
30	119.999	-34.259	0
50	119.999	-34.259	0
70	119.999	-34.259	0
90	119.999	-34.259	0
110	119.999	-34.259	0
130	119.999	-34.259	0
150	119.999	-34.259	0
170	472.965	90.9796	136
190	403.606	78.569	697
210	332.082	63.2998	1601
230	273.861	50.0781	2265
250	230.503	40.7495	2441
270	191.762	34.8403	2170
290	157.937	32.3771	1934
310	121.269	30.6637	2134
330	95.072	28.3771	2758
350	75.46	23.7372	2980
370	62.247	19.3762	3404
390	53.298	16.6773	3857
410	44.245	13.6875	3428
430	37.135	11.2335	2395
450	27.174	7.85478	1785
470	20.67	6.35287	2136
490	15.703	5.58641	2001
510	11.971	5.51635	1079
530	10.433	4.55711	188
550	7.527	0.994904	1
570	7.499	1.06157	0
590	7.499	1.06157	0
