10	119.999	-34.259	0
30	119.999	-34.259	0
50	119.999	-34.259	0
70	119.999	-34.259	0
90	119.999	-34.259	0
110	119.999	-34.259	0
130	119.999	-34.259	0
150	119.999	-34.259	0
170	507.068	78.907	117
190	425.971	77.4323	717
210	352.198	68.8994	1571
230	289.928	57.6633	2196
250	237.527	35.5575	2418
270	200.142	36.211	2285
290	169.708	36.4259	1853
310	136.543	35.1108	2027
330	106.095	33.2514	2722
350	79.034	25.4234	3054
370	62.806	17.8934	3331
390	52.803	13.5219	3742
410	44.323	11.1962	3602
430	36.482	9.34268	2255
450	27.936	9.49214	1700
470	19.531	7.96008	2158
490	13.673	7.31847	2016
510	9.284	5.85648	1010
530	7.246	4.59066	159
550	7.499	1.06157	0
570	7.499	1.06157	0
590	7.499	1.06157	0
