10	119.999	-34.259	0
30	119.999	-34.259	0
50	119.999	-34.259	0
70	119.999	-34.259	0
90	119.999	-34.259	0
110	119.999	-34.259	0
130	119.999	-34.259	0
150	119.999	-34.259	0
170	372.362	68.065	134
190	325.39	55.9639	661
210	272.587	48.9932	1581
230	226.495	40.0183	2150
250	186.426	33.5686	2359
270	155.86	29.2229	2207
290	130.986	27.5401	1868
310	100.119	22.8815	2044
330	77.666	19.3567	2660
350	61.518	16.2327	2946
370	50.926	13.9138	3318
390	42.837	12.3728	3661
410	37.634	11.1554	3425
430	32.358	9.20212	2356
450	26.733	7.51847	1680
470	20.674	6.0293	2103
490	16.791	5.20722	1914
510	14.244	4.90616	1099
530	11.828	3.92909	174
550	7.499	1.06157	0
570	7.499	1.06157	0
590	7.499	1.06157	0
