5	50789	5783.44	85
15	46287	8091.72	229
25	36739	7003.82	343
35	26960	5743.1	414
45	20461	4214.01	458
55	15869	3099.79	532
65	13456	2687.47	580
75	11604	2020.38	650
85	10192	1805.1	676
95	8935	1505.31	713
105	7868	1197.88	771
115	7186	1166.03	832
125	6405	1209.34	939
135	5603	991.932	822
145	4941	736.306	926
155	4601	813.163	813
165	4182	650.531	858
175	3935	694.692	906
185	3671	643.312	797
195	3411	537.58	692
205	3195	450.531	540
215	2906	336.306	404
225	2684	338.004	264
235	2473	195.329	112
245	2258	172.824	24
255	1866	239.915	2
265	749	106.157	0
275	749	106.157	0
285	749	106.157	0
295	749	106.157	0
